date,time_local,opponent,home_away,competition,stadium
2025-02-22,19:35,武汉三镇,Home,Chinese Super League,成都凤凰山专业足球场
2025-03-02,18:30,天津津门虎,Home,Chinese Super League,成都凤凰山专业足球场
2025-03-29,19:35,北京国安,Away,Chinese Super League,
2025-04-02,19:35,山东泰山,Away,Chinese Super League,
2025-04-06,19:00,大连英博,Home,Chinese Super League,成都凤凰山专业足球场
2025-04-12,19:00,青岛海牛,Away,Chinese Super League,
2025-04-16,19:35,云南玉昆,Home,Chinese Super League,成都凤凰山专业足球场
2025-04-20,19:35,上海海港,Away,Chinese Super League,
2025-04-26,15:30,长春亚泰,Away,Chinese Super League,
2025-05-02,19:35,上海申花,Home,Chinese Super League,成都凤凰山专业足球场
2025-05-05,19:35,浙江俱乐部,Home,Chinese Super League,成都凤凰山专业足球场
2025-05-10,19:35,梅州客家,Away,Chinese Super League,
2025-05-17,19:35,青岛西海岸,Home,Chinese Super League,成都凤凰山专业足球场
2025-06-14,19:35,河南俱乐部酒祖杜康,Away,Chinese Super League,
2025-06-25,20:00,深圳新鹏程,Home,Chinese Super League,成都凤凰山专业足球场
2025-06-29,19:35,武汉三镇,Away,Chinese Super League,
2025-07-18,19:35,天津津门虎,Away,Chinese Super League,
2025-07-26,19:35,北京国安,Home,Chinese Super League,成都凤凰山专业足球场
2025-08-02,19:35,山东泰山,Home,Chinese Super League,成都凤凰山专业足球场
2025-08-08,19:35,大连英博,Away,Chinese Super League,
2025-08-16,20:00,青岛海牛,Home,Chinese Super League,成都凤凰山专业足球场
2025-08-23,19:35,云南玉昆,Away,Chinese Super League,
2025-08-30,19:35,上海海港,Home,Chinese Super League,成都凤凰山专业足球场
2025-09-12,19:35,长春亚泰,Home,Chinese Super League,成都凤凰山专业足球场
2025-09-21,20:00,上海申花,Away,Chinese Super League,
2025-09-26,20:00,浙江俱乐部,Away,Chinese Super League,
2025-10-17,19:35,梅州客家,Home,Chinese Super League,成都凤凰山专业足球场
2025-10-26,18:30,青岛西海岸,Away,Chinese Super League,
2025-10-31,19:35,河南俱乐部酒祖杜康,Home,Chinese Super League,成都凤凰山专业足球场
2025-11-22,15:30,深圳新鹏程,Away,Chinese Super League,
2025-09-17,18:00,蔚山HD,Away,AFC Champions Elite League,
2025-09-30,20:15,江原FC,Home,AFC Champions Elite League,成都凤凰山专业足球场
2025-10-21,18:00,柔佛新山,Home,AFC Champions Elite League,成都凤凰山专业足球场
2025-11-04,18:00,FC首尔,Away,AFC Champions Elite League,
2025-11-25,20:15,广岛三箭,Home,AFC Champions Elite League,成都凤凰山专业足球场
2025-12-09,18:00,神户胜利船,Away,AFC Champions Elite League,
2026-02-10,20:15,武里南联,Home,AFC Champions Elite League,成都凤凰山专业足球场
2026-02-17,18:00,町田泽维亚,Away,AFC Champions Elite League,
